"CellCharter_3"	"CellCharter_4"	"CellCharter_5"	"CellCharter_6"	"CellCharter_7"	"CellCharter_8"	"CellCharter_9"	"CellCharter_10"	"SCANIT_3"	"SCANIT_4"	"SCANIT_5"	"SCANIT_6"	"SCANIT_7"	"SCANIT_8"	"SCANIT_9"	"SCANIT_10"	"SEDR_3"	"SEDR_4"	"SEDR_5"	"SEDR_6"	"SEDR_7"	"SEDR_8"	"SEDR_9"	"SEDR_10"	"SpaceFlow_3"	"SpaceFlow_4"	"SpaceFlow_5"	"SpaceFlow_6"	"SpaceFlow_7"	"SpaceFlow_8"	"SpaceFlow_9"	"SpaceFlow_10"	"x"	"y"	"X"	"label"	"label_old"
"DX1_8H_153_272"	1	2	2	2	1	4	5	5	0	2	1	0	2	0	1	1	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	181	93	"DX1_8H_153_272"	"periportal"	"Layer 9"
"DX1_8H_293_211"	2	3	3	3	3	7	7	7	0	3	3	4	6	5	4	6	1	1	1	5	5	7	1	1	0	1	0	5	4	5	6	8	321	32	"DX1_8H_293_211"	"midzonal"	"Layer 3"
"DX1_8H_172_258"	1	3	4	0	0	5	3	8	2	0	0	5	4	2	2	4	1	3	1	1	1	1	1	1	2	2	2	2	5	3	2	1	200	79	"DX1_8H_172_258"	"midzonal"	"Layer 4"
"DX1_8H_167_140"	0	0	0	5	0	3	3	8	2	0	0	5	4	2	2	0	1	3	3	3	3	3	3	3	2	2	4	4	1	3	2	6	195	-39	"DX1_8H_167_140"	"midzonal"	"Layer 3"
"DX1_8H_269_157"	0	0	0	5	5	2	2	2	2	0	0	5	4	2	2	0	2	2	2	3	2	2	2	2	0	2	4	4	1	4	4	4	297	-22	"DX1_8H_269_157"	"pericentral"	"Layer 1"
"DX1_8H_149_103"	1	2	2	2	1	1	5	5	0	2	1	0	2	0	1	1	1	1	1	5	5	7	8	8	1	0	1	0	0	0	1	0	177	-76	"DX1_8H_149_103"	"midzonal"	"Layer 6"
"DX1_8H_150_121"	0	0	0	5	5	2	2	3	2	0	0	5	4	2	2	0	1	3	3	3	3	3	3	3	2	2	4	4	1	3	2	6	178	-58	"DX1_8H_150_121"	"pericentral"	"Layer 2"
"DX1_8H_128_91"	0	0	0	5	5	2	2	2	2	3	3	4	6	7	4	6	2	2	2	2	7	8	9	10	0	2	0	1	3	4	4	4	156	-88	"DX1_8H_128_91"	"pericentral"	"Layer 1"
"DX1_8H_175_210"	1	2	4	0	1	5	5	8	1	1	2	3	0	6	3	7	1	1	4	4	4	4	8	4	2	3	2	2	2	7	7	3	203	31	"DX1_8H_175_210"	"midzonal"	"Layer 6"
"DX1_8H_234_139"	0	0	0	5	5	2	2	2	2	0	0	5	4	2	2	0	2	2	3	3	2	2	2	3	2	2	4	4	1	3	2	6	262	-40	"DX1_8H_234_139"	"pericentral"	"Layer 2"
"DX1_8H_217_135"	1	2	2	2	2	1	1	1	0	2	1	0	1	0	5	3	1	1	4	5	5	7	8	8	1	0	3	0	6	6	0	7	245	-44	"DX1_8H_217_135"	"periportal"	"Layer 8"
"DX1_8H_202_202"	1	2	2	2	1	5	1	1	1	0	0	1	3	6	0	7	1	1	4	5	5	7	8	8	1	0	1	0	0	0	3	0	230	23	"DX1_8H_202_202"	"periportal"	"Layer 8"
"DX1_8H_192_270"	1	2	4	0	1	5	8	1	0	2	1	0	2	0	1	1	1	1	4	4	4	4	8	8	1	0	1	0	0	0	3	0	220	91	"DX1_8H_192_270"	"periportal"	"Layer 7"
"DX1_8H_95_130"	1	3	3	3	3	7	0	7	1	1	2	3	0	1	3	2	1	1	1	5	5	7	1	1	0	1	0	1	3	1	7	5	123	-49	"DX1_8H_95_130"	"midzonal"	"Layer 4"
"DX1_8H_195_205"	1	2	4	2	1	5	5	5	2	0	0	1	3	4	0	4	1	1	4	4	5	7	8	8	1	0	1	0	0	0	1	0	223	26	"DX1_8H_195_205"	"periportal"	"Layer 7"
"DX1_8H_268_173"	0	3	4	0	0	3	3	3	2	0	0	5	4	2	2	0	2	2	3	3	2	2	2	2	2	2	4	4	1	3	2	6	296	-6	"DX1_8H_268_173"	"midzonal"	"Layer 3"
"DX1_8H_265_210"	1	2	4	0	1	1	8	1	2	0	0	1	3	4	0	4	1	1	1	5	5	7	1	1	2	0	2	2	5	2	3	1	293	31	"DX1_8H_265_210"	"periportal"	"Layer 7"
"DX1_8H_142_285"	2	3	3	3	3	7	7	7	0	3	3	4	6	5	4	8	1	3	3	1	3	3	6	6	0	1	0	5	4	5	6	8	170	106	"DX1_8H_142_285"	"pericentral"	"Layer 2"
"DX1_8H_154_173"	0	0	0	5	0	3	3	3	1	1	2	3	5	1	6	2	1	3	3	1	3	3	6	6	2	1	2	2	3	3	7	5	182	-6	"DX1_8H_154_173"	"midzonal"	"Layer 4"
"DX1_8H_183_97"	1	2	2	2	2	1	5	1	0	2	1	0	2	0	1	1	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	211	-82	"DX1_8H_183_97"	"periportal"	"Layer 7"
"DX1_8H_156_93"	1	3	4	0	1	5	8	3	2	0	0	1	3	4	0	4	1	3	1	1	1	1	1	1	2	2	2	2	5	2	2	1	184	-86	"DX1_8H_156_93"	"midzonal"	"Layer 5"
"DX1_8H_192_117"	1	3	4	0	1	5	8	8	2	0	0	1	3	4	0	4	1	1	1	5	5	7	1	1	2	0	2	2	5	2	3	1	220	-62	"DX1_8H_192_117"	"midzonal"	"Layer 5"
"DX1_8H_281_200"	0	0	0	5	5	2	2	2	2	0	3	4	6	7	4	6	2	2	2	2	7	8	9	10	0	2	4	4	1	4	4	4	309	21	"DX1_8H_281_200"	"pericentral"	"Layer 1"
"DX1_8H_195_188"	1	3	4	0	1	5	8	8	1	0	0	1	5	1	6	7	1	1	1	5	5	7	8	8	2	0	2	2	5	2	3	1	223	9	"DX1_8H_195_188"	"midzonal"	"Layer 5"
"DX1_8H_182_141"	0	0	0	5	5	2	2	2	2	0	2	3	5	1	6	7	2	2	2	2	2	2	2	2	0	1	0	1	3	4	4	5	210	-38	"DX1_8H_182_141"	"pericentral"	"Layer 1"
"DX1_8H_158_265"	2	1	1	1	4	6	4	6	1	1	4	2	1	6	7	5	1	1	4	4	4	4	4	4	1	3	3	3	6	6	0	7	186	86	"DX1_8H_158_265"	"periportal"	"Layer 8"
"DX1_8H_156_109"	0	0	0	5	5	3	3	2	2	0	0	5	4	2	2	0	2	2	2	2	2	2	2	2	2	2	4	4	1	3	4	6	184	-70	"DX1_8H_156_109"	"pericentral"	"Layer 1"
"DX1_8H_163_115"	1	2	4	2	1	5	1	8	0	2	1	0	2	0	1	1	1	1	1	5	5	7	1	1	1	0	1	0	0	2	3	0	191	-64	"DX1_8H_163_115"	"midzonal"	"Layer 6"
"DX1_8H_165_238"	1	3	4	0	1	5	8	8	1	1	2	3	5	1	6	2	1	3	3	1	3	3	6	6	2	2	2	2	1	3	2	5	193	59	"DX1_8H_165_238"	"midzonal"	"Layer 3"
"DX1_8H_193_120"	1	3	4	0	1	5	8	8	2	0	0	1	3	4	0	4	1	1	1	5	1	1	1	1	2	2	2	2	5	2	2	1	221	-59	"DX1_8H_193_120"	"midzonal"	"Layer 6"
"DX1_8H_277_166"	1	3	4	0	0	3	8	3	2	0	0	5	4	2	0	0	1	3	1	1	1	1	6	6	2	2	2	2	1	3	2	6	305	-13	"DX1_8H_277_166"	"midzonal"	"Layer 3"
"DX1_8H_243_223"	0	0	1	1	4	6	6	9	1	0	2	3	5	1	6	7	1	3	3	3	3	3	3	3	0	1	0	1	3	1	7	5	271	44	"DX1_8H_243_223"	"midzonal"	"Layer 4"
"DX1_8H_161_101"	1	2	2	2	1	5	1	5	2	0	0	1	3	4	0	4	1	1	1	5	5	7	1	1	2	0	2	2	5	2	3	1	189	-78	"DX1_8H_161_101"	"midzonal"	"Layer 5"
"DX1_8H_137_140"	0	0	0	5	0	3	3	3	1	1	2	3	5	1	6	2	2	2	3	3	2	2	2	2	0	1	0	1	3	4	7	5	165	-39	"DX1_8H_137_140"	"pericentral"	"Layer 1"
"DX1_8H_276_209"	0	0	0	5	5	2	2	2	0	3	3	4	6	5	4	8	3	4	5	6	7	8	9	10	0	1	0	5	4	5	6	9	304	30	"DX1_8H_276_209"	"pericentral"	"Layer 1"
"DX1_8H_199_153"	1	2	2	2	2	1	1	1	0	2	1	0	1	0	5	3	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	227	-26	"DX1_8H_199_153"	"periportal"	"Layer 8"
"DX1_8H_156_81"	1	3	3	3	3	7	7	3	0	3	3	4	6	5	4	8	1	3	3	3	3	3	3	3	0	1	0	5	4	5	6	8	184	-98	"DX1_8H_156_81"	"midzonal"	"Layer 3"
"DX1_8H_142_177"	1	3	4	4	0	4	0	8	1	1	2	2	0	1	3	2	1	3	1	1	1	1	1	1	0	1	0	1	2	1	5	2	170	-2	"DX1_8H_142_177"	"midzonal"	"Layer 4"
"DX1_8H_253_205"	1	3	4	0	1	5	8	8	2	0	0	1	3	4	0	4	1	1	4	5	5	7	8	8	2	0	2	2	5	2	3	1	281	26	"DX1_8H_253_205"	"midzonal"	"Layer 6"
"DX1_8H_201_99"	0	3	0	0	0	3	3	3	2	0	0	1	4	2	0	0	1	3	3	3	3	3	3	3	2	2	4	4	1	3	2	6	229	-80	"DX1_8H_201_99"	"pericentral"	"Layer 2"
"DX1_8H_165_199"	2	2	1	4	4	4	0	4	1	1	4	2	0	3	7	5	1	1	4	4	4	4	8	8	1	3	3	3	6	6	0	3	193	20	"DX1_8H_165_199"	"midzonal"	"Layer 6"
"DX1_8H_160_243"	0	0	0	5	0	3	3	3	1	0	0	5	4	2	2	7	2	2	3	3	2	2	2	2	2	2	4	4	1	3	2	6	188	64	"DX1_8H_160_243"	"midzonal"	"Layer 3"
"DX1_8H_251_228"	0	0	0	5	0	3	3	3	2	0	0	5	4	2	2	0	2	2	3	3	2	2	2	2	2	2	4	4	1	3	2	6	279	49	"DX1_8H_251_228"	"pericentral"	"Layer 2"
"DX1_8H_265_214"	0	0	0	5	5	3	3	3	2	0	0	5	4	2	2	0	2	2	3	3	2	2	2	2	2	2	4	4	1	3	2	6	293	35	"DX1_8H_265_214"	"pericentral"	"Layer 2"
"DX1_8H_175_207"	1	3	4	0	1	5	8	8	1	0	2	3	5	1	6	7	1	3	3	1	3	3	6	6	2	2	2	2	1	3	2	5	203	28	"DX1_8H_175_207"	"midzonal"	"Layer 3"
"DX1_8H_210_169"	2	1	1	4	6	4	4	4	1	1	4	2	1	6	7	5	1	1	4	4	5	7	8	8	1	0	3	0	6	6	0	7	238	-10	"DX1_8H_210_169"	"periportal"	"Layer 9"
"DX1_8H_227_247"	1	2	4	0	1	5	5	8	0	2	1	0	2	0	1	1	1	1	4	5	5	7	8	8	2	0	2	2	5	2	3	1	255	68	"DX1_8H_227_247"	"periportal"	"Layer 7"
"DX1_8H_225_222"	1	3	4	0	0	3	8	3	1	0	2	3	5	1	6	7	1	3	3	1	3	3	6	6	0	1	0	1	3	1	7	5	253	43	"DX1_8H_225_222"	"midzonal"	"Layer 4"
"DX1_8H_263_112"	0	0	0	5	5	2	2	2	2	0	3	4	6	7	4	6	2	2	2	2	7	8	9	10	0	1	0	1	3	4	4	4	291	-67	"DX1_8H_263_112"	"pericentral"	"Layer 1"
"DX1_8H_134_237"	2	1	3	3	3	0	7	0	1	1	4	2	0	3	8	9	1	1	1	1	1	1	1	1	0	1	0	5	4	5	5	2	162	58	"DX1_8H_134_237"	"midzonal"	"Layer 5"
"DX1_8H_96_130"	1	3	3	3	0	7	3	8	1	1	2	3	5	1	3	2	1	1	1	1	1	1	1	1	0	1	0	1	3	1	7	5	124	-49	"DX1_8H_96_130"	"midzonal"	"Layer 4"
"DX1_8H_194_243"	2	0	3	4	6	0	0	0	1	1	2	3	5	1	6	2	2	2	3	3	2	2	3	3	0	1	0	1	3	1	7	5	222	64	"DX1_8H_194_243"	"pericentral"	"Layer 2"
"DX1_8H_156_251"	1	3	4	0	0	3	3	8	2	0	0	1	3	4	0	4	1	3	1	1	1	1	6	6	2	3	2	2	2	7	7	5	184	72	"DX1_8H_156_251"	"midzonal"	"Layer 4"
"DX1_8H_199_273"	2	1	3	3	3	0	7	0	0	3	3	4	6	7	4	6	1	3	1	1	1	1	6	1	0	1	0	5	4	1	5	2	227	94	"DX1_8H_199_273"	"midzonal"	"Layer 4"
"DX1_8H_218_193"	1	2	4	0	1	5	5	8	1	1	2	3	5	1	6	7	1	1	1	5	5	7	1	1	1	3	3	3	2	7	0	3	246	14	"DX1_8H_218_193"	"midzonal"	"Layer 6"
"DX1_8H_235_241"	1	3	4	0	1	5	8	8	2	0	0	1	3	4	0	4	1	1	1	5	5	7	1	1	2	0	2	2	5	2	3	1	263	62	"DX1_8H_235_241"	"midzonal"	"Layer 6"
"DX1_8H_177_126"	1	3	4	0	0	5	3	8	2	0	0	1	3	4	0	0	1	3	1	1	1	1	6	6	2	2	2	2	1	3	2	1	205	-53	"DX1_8H_177_126"	"midzonal"	"Layer 3"
"DX1_8H_138_263"	2	3	3	3	3	7	7	7	0	3	3	4	6	7	4	6	1	3	3	3	3	3	3	3	0	1	0	1	4	1	5	2	166	84	"DX1_8H_138_263"	"midzonal"	"Layer 3"
"DX1_8H_253_118"	0	0	0	5	4	0	6	9	2	0	3	4	6	7	4	6	2	2	2	2	2	2	2	2	0	1	0	1	3	1	5	2	281	-61	"DX1_8H_253_118"	"pericentral"	"Layer 1"
"DX1_8H_263_225"	1	2	2	2	2	1	1	1	0	2	1	0	2	0	1	1	1	1	4	4	4	4	8	8	1	0	1	0	0	0	1	0	291	46	"DX1_8H_263_225"	"periportal"	"Layer 8"
"DX1_8H_149_85"	0	0	3	5	0	3	3	3	0	3	3	4	6	7	4	6	1	3	3	1	3	3	6	6	0	1	0	5	4	5	6	8	177	-94	"DX1_8H_149_85"	"midzonal"	"Layer 3"
"DX1_8H_196_167"	0	0	0	5	0	3	3	3	1	1	2	3	5	1	6	2	2	3	3	3	2	2	3	3	0	1	0	1	3	1	7	5	224	-12	"DX1_8H_196_167"	"midzonal"	"Layer 3"
"DX1_8H_159_203"	0	0	3	5	3	0	2	0	1	1	2	3	5	1	6	2	2	2	2	2	2	2	2	2	0	1	0	1	3	1	7	5	187	24	"DX1_8H_159_203"	"pericentral"	"Layer 1"
"DX1_8H_241_236"	0	3	4	0	0	3	8	3	2	0	0	1	3	4	0	4	1	3	1	1	1	1	6	6	2	0	2	2	5	2	3	1	269	57	"DX1_8H_241_236"	"midzonal"	"Layer 4"
"DX1_8H_178_218"	2	1	1	1	6	4	4	6	1	1	4	2	0	3	7	5	1	1	4	4	4	4	4	4	1	3	3	3	6	6	0	7	206	39	"DX1_8H_178_218"	"periportal"	"Layer 7"
"DX1_8H_222_223"	0	0	0	5	5	2	2	2	2	0	0	5	4	2	2	0	2	2	2	2	7	8	9	10	0	2	0	4	3	4	4	4	250	44	"DX1_8H_222_223"	"pericentral"	"Layer 1"
"DX1_8H_260_167"	0	3	0	5	0	3	3	3	2	0	0	5	4	2	2	0	2	2	2	3	2	2	2	2	0	2	4	4	1	4	4	4	288	-12	"DX1_8H_260_167"	"pericentral"	"Layer 2"
"DX1_8H_137_113"	0	0	0	5	0	3	3	3	1	1	2	3	5	1	6	2	2	2	2	2	7	8	2	2	0	1	0	1	3	4	7	5	165	-66	"DX1_8H_137_113"	"pericentral"	"Layer 1"
"DX1_8H_266_237"	0	0	0	5	5	2	2	2	2	0	3	4	6	7	4	6	2	2	2	2	7	8	9	10	0	2	4	4	1	4	4	4	294	58	"DX1_8H_266_237"	"pericentral"	"Layer 1"
"DX1_8H_159_118"	1	2	2	2	1	5	8	8	2	0	0	1	3	4	1	4	1	1	1	5	5	7	8	8	2	0	2	2	5	2	3	1	187	-61	"DX1_8H_159_118"	"midzonal"	"Layer 6"
"DX1_8H_209_230"	1	2	2	2	2	4	1	4	0	2	1	0	2	0	5	3	1	1	4	4	4	4	4	4	1	0	3	0	6	6	0	7	237	51	"DX1_8H_209_230"	"midzonal"	"Layer 6"
"DX1_8H_241_163"	1	3	4	0	1	5	8	8	2	0	0	1	3	4	0	0	1	3	1	1	1	1	6	1	2	2	2	2	5	2	2	1	269	-16	"DX1_8H_241_163"	"midzonal"	"Layer 5"
"DX1_8H_196_271"	2	1	3	3	3	0	6	4	1	1	4	2	1	6	7	5	1	1	4	5	5	7	8	8	0	3	0	1	2	1	5	2	224	92	"DX1_8H_196_271"	"midzonal"	"Layer 5"
"DX1_8H_140_195"	0	0	0	5	5	2	2	2	1	1	4	2	0	3	3	9	2	2	2	2	7	8	9	10	0	1	0	1	3	4	4	2	168	16	"DX1_8H_140_195"	"pericentral"	"Layer 1"
"DX1_8H_197_272"	2	3	3	3	3	7	7	7	1	1	4	2	0	3	8	9	1	3	1	1	1	1	6	6	0	1	0	1	4	1	5	2	225	93	"DX1_8H_197_272"	"midzonal"	"Layer 3"
"DX1_8H_277_202"	1	3	4	0	0	3	3	8	2	0	0	5	4	2	2	0	1	3	3	1	3	3	6	6	2	2	4	4	1	3	2	6	305	23	"DX1_8H_277_202"	"midzonal"	"Layer 3"
"DX1_8H_252_194"	2	2	2	2	2	4	1	4	0	2	1	0	1	0	5	3	1	1	4	4	4	4	4	4	1	0	3	0	6	6	0	7	280	15	"DX1_8H_252_194"	"periportal"	"Layer 8"
"DX1_8H_240_185"	1	3	4	0	0	3	3	3	2	0	3	4	6	7	4	6	1	3	1	1	3	3	6	6	2	2	4	4	1	3	2	6	268	6	"DX1_8H_240_185"	"midzonal"	"Layer 4"
"DX1_8H_229_228"	1	3	4	0	0	3	8	3	2	0	0	1	3	4	0	4	1	3	1	1	1	1	1	1	2	2	2	2	5	3	2	1	257	49	"DX1_8H_229_228"	"midzonal"	"Layer 3"
"DX1_8H_284_132"	1	3	3	3	3	7	7	7	0	3	3	4	6	5	4	3	1	1	1	5	5	7	1	1	0	0	0	0	4	5	1	8	312	-47	"DX1_8H_284_132"	"periportal"	"Layer 7"
"DX1_8H_154_104"	0	0	0	5	5	2	2	2	2	0	0	5	4	2	2	0	2	2	2	2	7	8	9	10	0	2	4	4	1	4	4	4	182	-75	"DX1_8H_154_104"	"pericentral"	"Layer 1"
"DX1_8H_184_138"	0	0	0	5	5	2	2	2	2	0	0	5	4	2	2	0	2	2	2	2	7	8	9	10	0	2	4	4	1	4	4	4	212	-41	"DX1_8H_184_138"	"pericentral"	"Layer 1"
"DX1_8H_221_225"	0	0	0	5	5	2	2	2	2	0	0	5	4	2	2	0	2	2	2	2	7	8	9	10	0	2	4	4	1	4	4	4	249	46	"DX1_8H_221_225"	"pericentral"	"Layer 1"
"DX1_8H_238_160"	1	3	4	0	0	3	3	8	2	0	0	5	4	2	2	4	1	3	1	1	1	1	6	6	2	2	4	4	1	3	2	6	266	-19	"DX1_8H_238_160"	"midzonal"	"Layer 3"
"DX1_8H_251_136"	1	2	2	0	1	1	5	5	0	2	1	0	2	0	1	1	1	1	4	5	5	7	8	8	1	0	1	2	0	2	3	0	279	-43	"DX1_8H_251_136"	"midzonal"	"Layer 6"
"DX1_8H_207_216"	1	2	4	4	4	4	6	9	1	1	2	3	5	6	6	7	1	3	1	1	1	1	1	1	0	1	0	1	3	1	5	5	235	37	"DX1_8H_207_216"	"midzonal"	"Layer 5"
"DX1_8H_268_148"	0	0	0	5	5	2	2	2	2	0	0	5	4	2	2	0	2	2	2	2	7	8	9	10	0	2	0	1	3	4	4	4	296	-31	"DX1_8H_268_148"	"pericentral"	"Layer 1"
"DX1_8H_269_148"	0	0	0	5	5	2	2	2	2	0	0	5	4	2	2	0	2	2	2	2	7	8	9	10	0	2	0	1	3	4	4	4	297	-31	"DX1_8H_269_148"	"pericentral"	"Layer 1"
"DX1_8H_250_181"	0	0	0	5	5	2	2	2	2	0	0	5	4	2	2	0	2	2	2	2	2	2	2	2	0	2	4	4	1	4	4	4	278	2	"DX1_8H_250_181"	"pericentral"	"Layer 1"
"DX1_8H_181_89"	0	0	0	5	5	2	2	2	2	0	0	5	4	2	2	0	2	2	2	2	7	8	2	2	0	2	4	4	1	4	4	4	209	-90	"DX1_8H_181_89"	"pericentral"	"Layer 1"
"DX1_8H_277_131"	0	0	0	5	5	2	3	2	2	0	3	4	6	7	4	6	2	2	2	2	2	2	2	2	0	1	0	1	3	4	6	4	305	-48	"DX1_8H_277_131"	"pericentral"	"Layer 1"
"DX1_8H_205_97"	1	2	2	2	2	1	1	1	0	2	1	0	1	0	5	3	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	233	-82	"DX1_8H_205_97"	"periportal"	"Layer 8"
"DX1_8H_242_246"	0	0	0	5	5	2	2	2	2	0	3	4	6	7	4	6	2	2	2	2	7	8	9	10	0	2	4	4	1	4	4	4	270	67	"DX1_8H_242_246"	"pericentral"	"Layer 1"
"DX1_8H_152_80"	0	3	3	3	3	7	7	3	0	3	3	4	6	5	4	8	1	3	3	3	3	3	3	3	0	1	0	5	4	5	6	8	180	-99	"DX1_8H_152_80"	"pericentral"	"Layer 2"
"DX1_8H_220_225"	0	0	0	5	5	2	2	2	2	0	0	5	4	2	2	0	2	2	2	2	7	8	9	10	0	2	4	4	1	4	4	4	248	46	"DX1_8H_220_225"	"pericentral"	"Layer 1"
"DX1_8H_160_219"	2	1	3	4	6	4	0	9	1	1	4	2	0	3	3	9	1	1	1	5	5	7	1	1	0	1	0	1	2	1	5	2	188	40	"DX1_8H_160_219"	"midzonal"	"Layer 5"
"DX1_8H_238_126"	0	0	4	0	1	5	8	3	2	0	0	1	3	4	0	0	1	3	3	1	3	3	6	6	2	2	4	4	1	3	2	6	266	-53	"DX1_8H_238_126"	"midzonal"	"Layer 4"
"DX1_8H_86_124"	2	1	1	4	6	4	4	6	1	1	2	2	0	3	3	5	1	1	4	4	4	4	4	4	1	3	3	3	2	7	0	3	114	-55	"DX1_8H_86_124"	"midzonal"	"Layer 5"
"DX1_8H_159_241"	0	0	0	5	0	3	3	3	1	0	0	5	4	1	2	7	2	3	3	3	2	2	3	3	2	2	4	4	1	3	2	6	187	62	"DX1_8H_159_241"	"pericentral"	"Layer 2"
"DX1_8H_271_129"	1	2	2	2	2	1	5	5	0	2	1	0	2	0	1	1	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	299	-50	"DX1_8H_271_129"	"periportal"	"Layer 8"
"DX1_8H_294_178"	2	1	1	1	4	6	6	9	0	3	3	4	1	5	8	8	1	3	1	1	1	1	6	6	0	1	0	5	4	5	5	2	322	-1	"DX1_8H_294_178"	"midzonal"	"Layer 5"
"DX1_8H_286_162"	0	3	3	0	0	3	8	3	2	0	0	5	4	2	0	0	1	3	3	1	3	3	6	6	2	2	4	4	1	3	2	6	314	-17	"DX1_8H_286_162"	"midzonal"	"Layer 3"
"DX1_8H_122_128"	0	3	4	0	0	3	3	3	1	1	2	3	5	1	3	2	2	3	3	3	2	2	3	3	0	1	0	1	3	1	7	5	150	-51	"DX1_8H_122_128"	"pericentral"	"Layer 2"
"DX1_8H_243_104"	1	2	2	2	2	1	1	1	0	2	1	0	1	0	5	3	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	271	-75	"DX1_8H_243_104"	"periportal"	"Layer 8"
"DX1_8H_263_124"	0	0	0	5	0	3	3	3	2	0	3	4	6	7	4	6	1	3	3	3	3	3	3	3	0	1	0	1	3	1	7	5	291	-55	"DX1_8H_263_124"	"midzonal"	"Layer 3"
"DX1_8H_275_205"	0	0	0	5	0	3	3	3	2	0	0	5	4	2	2	0	2	2	3	3	2	2	2	3	2	2	4	4	1	3	2	6	303	26	"DX1_8H_275_205"	"pericentral"	"Layer 2"
"DX1_8H_270_210"	1	3	4	0	0	3	8	3	2	0	0	1	3	4	0	0	1	3	1	1	1	1	6	6	2	2	4	4	1	3	2	6	298	31	"DX1_8H_270_210"	"midzonal"	"Layer 5"
"DX1_8H_139_125"	1	3	4	0	0	5	3	8	1	1	2	3	5	1	6	2	1	3	1	1	1	1	6	6	2	2	2	2	1	3	2	5	167	-54	"DX1_8H_139_125"	"midzonal"	"Layer 4"
"DX1_8H_201_232"	1	3	4	0	0	3	3	3	2	0	0	5	4	2	2	7	1	3	3	1	3	3	6	6	0	1	0	1	3	1	7	5	229	53	"DX1_8H_201_232"	"pericentral"	"Layer 2"
"DX1_8H_231_206"	1	2	4	0	1	5	5	5	2	2	1	0	2	0	1	1	1	1	4	5	5	7	8	8	2	0	2	2	5	2	3	1	259	27	"DX1_8H_231_206"	"periportal"	"Layer 7"
"DX1_8H_280_211"	0	0	0	5	5	2	2	2	2	0	3	4	6	7	4	6	3	4	5	6	7	8	9	10	0	1	0	1	3	4	4	4	308	32	"DX1_8H_280_211"	"pericentral"	"Layer 1"
"DX1_8H_274_179"	1	2	2	2	2	1	1	1	0	2	1	0	2	0	1	1	1	1	4	4	4	4	4	4	1	0	1	0	0	0	1	0	302	0	"DX1_8H_274_179"	"periportal"	"Layer 9"
"DX1_8H_296_206"	2	3	3	3	3	7	7	7	0	3	3	4	6	5	4	8	1	3	1	1	1	1	1	1	0	1	0	5	4	5	6	8	324	27	"DX1_8H_296_206"	"midzonal"	"Layer 4"
"DX1_8H_199_232"	1	3	4	0	0	3	3	3	1	1	2	3	5	1	6	7	1	3	3	3	3	3	3	3	0	1	0	1	3	1	7	5	227	53	"DX1_8H_199_232"	"pericentral"	"Layer 2"
"DX1_8H_147_113"	1	3	4	0	1	5	8	8	1	0	0	5	4	1	6	7	1	3	1	1	1	1	6	6	2	2	2	2	1	3	2	1	175	-66	"DX1_8H_147_113"	"midzonal"	"Layer 4"
"DX1_8H_144_252"	2	2	2	4	6	4	0	4	1	1	4	2	1	6	7	5	1	1	4	4	4	4	4	4	1	3	3	3	6	6	0	7	172	73	"DX1_8H_144_252"	"periportal"	"Layer 9"
"DX1_8H_89_126"	2	1	3	4	6	4	0	4	1	1	2	3	0	1	3	2	1	1	4	4	5	7	8	8	2	3	2	2	2	7	7	3	117	-53	"DX1_8H_89_126"	"periportal"	"Layer 7"
"DX1_8H_243_147"	1	3	4	0	1	3	8	3	2	0	0	1	4	2	0	4	1	3	3	1	3	3	6	6	2	2	4	4	1	3	2	6	271	-32	"DX1_8H_243_147"	"midzonal"	"Layer 3"
"DX1_8H_181_254"	1	3	4	0	0	3	3	8	2	0	0	1	4	4	0	4	1	3	1	1	1	1	6	1	2	2	2	2	1	3	2	1	209	75	"DX1_8H_181_254"	"midzonal"	"Layer 4"
"DX1_8H_279_141"	2	2	2	2	2	1	1	1	0	2	1	0	2	0	1	1	1	1	4	4	4	4	4	4	1	0	1	0	0	0	3	0	307	-38	"DX1_8H_279_141"	"periportal"	"Layer 9"
"DX1_8H_232_106"	1	3	4	0	1	5	8	3	0	2	1	0	2	0	1	1	1	1	4	5	5	7	8	8	1	0	1	0	0	2	3	0	260	-73	"DX1_8H_232_106"	"periportal"	"Layer 7"
"DX1_8H_185_161"	2	1	1	1	4	6	6	9	1	1	4	2	1	6	7	5	1	1	1	5	1	1	1	1	1	3	3	3	6	6	0	3	213	-18	"DX1_8H_185_161"	"midzonal"	"Layer 5"
"DX1_8H_160_85"	1	2	2	2	2	1	1	1	0	2	1	0	1	0	5	3	1	1	4	5	5	7	8	8	1	0	3	0	6	6	0	7	188	-94	"DX1_8H_160_85"	"periportal"	"Layer 9"
"DX1_8H_142_88"	1	3	4	0	1	5	8	3	2	0	0	1	3	4	0	4	1	3	1	1	1	1	6	6	2	1	2	5	4	5	6	8	170	-91	"DX1_8H_142_88"	"midzonal"	"Layer 4"
